query accession,genus/species,nucleotide acc,protein acc,fxn,dir,min,max,PfamID1,description,E-value1,PfamID2,description,E-value2,PfamID3,description,E-value3,custom hmm,custom hmm E-value,custom hmm2,custom hmm2 E-value
WP_063010142.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063010154.1,,rev,104426,105289,PF00296,Bac_luciferase  Luciferase-like monooxygenase,3.20E-49,,,,,,,,,,
WP_063010142.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063010156.1,,rev,105409,106257,PF13460,NAD_binding_10  NAD(P)H-binding,2.70E-25,PF05368,NmrA  NmrA-like family,5.90E-18,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.90E-06,,,,
WP_063010142.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_063010158.1,,fwd,106529,107119,PF03729,DUF308  Short repeat of unknown function (DUF308),4.30E-25,PF04156,IncA  IncA protein,0.03,PF03694,Erg28  Erg28 like protein,0.039,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845770.1,,fwd,2853,3662,PF00753,Lactamase_B  Metallo-beta-lactamase superfamily,4.80E-17,PF12706,Lactamase_B_2  Beta-lactamase superfamily domain,0.0028,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845711.1,,rev,3756,4400,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,8.00E-12,,,,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845714.1,,rev,4476,6515,PF02129,Peptidase_S15  X-Pro dipeptidyl-peptidase (S15 family),9.60E-52,PF08530,PepX_C  X-Pro dipeptidyl-peptidase C-terminal non-catalytic domain,3.50E-38,PF00326,Peptidase_S9  Prolyl oligopeptidase family,0.00022,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511062.1,MMPL,fwd,6950,9190,PF03176,MMPL  MMPL family,3.80E-78,PF09480,PrgH  Type III secretion system protein PrgH-EprH (PrgH),0.29,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511064.1,,rev,9214,10401,PF00067,p450  Cytochrome P450,5.60E-09,,,,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845718.1,C,rev,10398,12323,PF00733,Asn_synthase  Asparagine synthase,2.10E-74,PF13537,GATase_7  Glutamine amidotransferase domain,2.10E-40,PF13522,GATase_6  Glutamine amidotransferase domain,2.70E-34,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845721.1,,rev,12325,13707,PF03007,WES_acyltransf  Wax ester synthase-like Acyl-CoA acyltransferase domain,4.60E-53,PF06974,DUF1298  Protein of unknown function (DUF1298),1.00E-27,PF00668,Condensation  Condensation domain,0.033,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511066.1,,rev,13717,15168,PF00067,p450  Cytochrome P450,6.10E-83,,,,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511077.1,,fwd,15431,16402,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.70E-08,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.80E-07,PF00108,Thiolase_N  Thiolase  N-terminal domain,0.034,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511068.1,,fwd,16409,17317,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.10E-05,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.90E-05,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511070.1,,fwd,17314,19032,PF00501,AMP-binding  AMP-binding enzyme,2.60E-51,PF08922,DUF1905  Domain of unknown function (DUF1905),0.062,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845735.1,D,fwd,19029,20057,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,5.80E-41,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,4.10E-29,PF13460,NAD_binding_10  NAD(P)H-binding,5.90E-21,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511071.1,,fwd,20088,21506,PF00067,p450  Cytochrome P450,6.60E-65,PF07506,RepB  RepB plasmid partitioning protein,0.045,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511073.1,,fwd,21503,23041,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,3.00E-16,PF00743,FMO-like  Flavin-binding monooxygenase-like,1.40E-13,PF07992,Pyr_redox_2  Pyridine nucleotide-disulphide oxidoreductase,6.40E-13,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511075.1,,rev,23169,23762,NO PFAM MATCH,,,,,,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845786.1,,rev,23978,24745,PF07298,NnrU  NnrU protein,6.80E-07,PF04191,PEMT  Phospholipid methyltransferase,1.9,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845741.1,,rev,25191,26117,PF04228,Zn_peptidase  Putative neutral zinc metallopeptidase,3.10E-77,PF11553,DUF3231  Protein of unknown function (DUF3231),0.026,PF06114,DUF955  Domain of unknown function (DUF955),0.16,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845744.1,,fwd,26282,28078,PF00152,tRNA-synt_2  tRNA synthetases class II (D  K and N),1.90E-99,PF01336,tRNA_anti-codon  OB-fold nucleic acid binding domain,2.10E-17,PF02938,GAD  GAD domain,1.80E-15,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845747.1,,rev,28160,29173,PF10110,GPDPase_memb  Membrane domain of glycerophosphoryl diester phosphodiesterase,0.00013,PF0259,UPF0259  Uncharacterised protein family (UPF0259),1.1,PF06790,DUF975  Protein of unknown function (DUF975),2.5,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845750.1,,fwd,29367,30536,PF01633,Choline_kinase  Choline/ethanolamine kinase,0.025,,,,,,,,,,
WP_084511070.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067845789.1,,rev,30557,32200,PF09423,PhoD  PhoD-like phosphatase,4.40E-116,PF16655,PhoD_N  PhoD-like phosphatase  N-terminal domain,1.80E-33,PF16656,Pur_ac_phosph_N  Purple acid Phosphatase  N-terminal domain,0.00034,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847149.1,,fwd,6289,7248,PF12697,Abhydrolase_6  Alpha/beta hydrolase family,3.90E-15,PF00561,Abhydrolase_1  alpha/beta hydrolase fold,3.40E-11,PF12146,Hydrolase_4  Serine aminopeptidase  S33,1.80E-08,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847152.1,,fwd,7305,8120,PF13847,Methyltransf_31  Methyltransferase domain,2.30E-08,PF05175,MTS  Methyltransferase small domain,4.20E-08,PF13649,Methyltransf_25  Methyltransferase domain,5.20E-06,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847157.1,,rev,8158,8988,PF00106,adh_short  short chain dehydrogenase,7.20E-46,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,2.70E-31,PF08659,KR  KR domain,1.30E-10,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847159.1,,rev,9094,10668,PF00171,Aldedh  Aldehyde dehydrogenase family,5.20E-135,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847161.1,,fwd,10818,11513,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,1.30E-09,PF13384,HTH_23  Homeodomain-like domain,0.0015,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.0015,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847164.1,,fwd,11566,12225,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,8.50E-07,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847165.1,,rev,12344,12820,PF10604,Polyketide_cyc2  Polyketide cyclase / dehydrase and lipid transport,1.10E-06,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847167.1,,rev,13123,14616,PF13450,NAD_binding_8  NAD(P)-binding Rossmann-like domain,2.70E-10,PF00743,FMO-like  Flavin-binding monooxygenase-like,3.20E-09,PF13738,Pyr_redox_3  Pyridine nucleotide-disulphide oxidoreductase,2.30E-08,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847169.1,,fwd,15163,16212,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,9.50E-09,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.60E-08,PF00108,Thiolase_N  Thiolase  N-terminal domain,0.058,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847170.1,,fwd,16222,17136,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,5.20E-07,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.10E-05,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847171.1,,fwd,17133,18812,PF00501,AMP-binding  AMP-binding enzyme,1.10E-63,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,0.0018,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847172.1,,fwd,18809,19135,NO PFAM MATCH,,,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847173.1,D,fwd,19132,20175,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,9.50E-44,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.20E-30,PF13460,NAD_binding_10  NAD(P)H-binding,1.50E-22,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847175.1,,fwd,20196,21392,NO PFAM MATCH,,,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847178.1,MMPL,fwd,21490,23616,PF03176,MMPL  MMPL family,5.50E-67,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847186.1,,fwd,23769,24656,PF00582,Usp  Universal stress protein family,1.60E-52,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847188.1,,fwd,24790,25179,NO PFAM MATCH,,,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847189.1,,fwd,25354,25659,NO PFAM MATCH,,,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847190.1,,rev,25750,26391,PF13460,NAD_binding_10  NAD(P)H-binding,4.50E-28,PF05368,NmrA  NmrA-like family,1.30E-08,PF01113,DapB_N  Dihydrodipicolinate reductase  N-terminus,5.10E-05,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_067847191.1,,rev,26564,26968,PF11869,DUF3389  Protein of unknown function (DUF3389),0.031,,,,,,,,,,
WP_067847171.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084511205.1,,rev,26984,27970,NO PFAM MATCH,,,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519156.1,,rev,2270,2839,PF04542,Sigma70_r2  Sigma-70 region 2,7.00E-14,PF04545,Sigma70_r4  Sigma-70  region 4,5.20E-10,PF08281,Sigma70_r4_2  Sigma-70  region 4,2.60E-09,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014226.1,,fwd,3045,3446,NO PFAM MATCH,,,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014282.1,,fwd,3632,4702,PF01087,GalP_UDP_transf  Galactose-1-phosphate uridyl transferase  N-terminal domain,4.80E-40,PF02744,GalP_UDP_tr_C  Galactose-1-phosphate uridyl transferase  C-terminal domain,6.20E-15,PF16285,DUF4931  Domain of unknown function (DUF4931),0.074,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519160.1,,fwd,4720,5817,PF10509,GalKase_gal_bdg  Galactokinase galactose-binding signature,6.50E-17,PF08544,GHMP_kinases_C  GHMP kinases C terminal,6.80E-13,PF00288,GHMP_kinases_N  GHMP kinases N terminal domain,6.90E-11,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014229.1,,fwd,6333,6563,PF04149,DUF397  Domain of unknown function (DUF397),1.10E-17,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014232.1,,fwd,6604,7353,PF00106,adh_short  short chain dehydrogenase,1.50E-38,PF13561,adh_short_C2  Enoyl-(Acyl carrier protein) reductase,8.00E-29,PF08659,KR  KR domain,8.30E-14,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014234.1,,fwd,7702,8751,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.90E-11,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,5.80E-09,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.032,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014237.1,,fwd,8763,9671,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.30E-08,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.00036,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.07,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014239.1,,fwd,9856,11532,PF00501,AMP-binding  AMP-binding enzyme,2.30E-60,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014240.1,,fwd,11496,11834,PF10954,DUF2755  Protein of unknown function (DUF2755),0.076,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014241.1,D,fwd,11848,12888,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,8.70E-41,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,5.90E-30,PF07993,NAD_binding_4  Male sterility protein,1.90E-22,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014243.1,,fwd,12911,14104,NO PFAM MATCH,,,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014244.1,MMPL,fwd,14101,16242,PF03176,MMPL  MMPL family,2.80E-73,,,,,,,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014245.1,,fwd,16278,16679,PF03061,4HBT  Thioesterase superfamily,9.70E-19,PF13622,4HBT_3  Thioesterase-like superfamily,1.50E-05,PF14539,DUF4442  Domain of unknown function (DUF4442),0.00035,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014246.1,,rev,16680,17537,PF02353,CMAS  Mycolic acid cyclopropane synthetase,3.80E-101,PF13649,Methyltransf_25  Methyltransferase domain,1.80E-14,PF13489,Methyltransf_23  Methyltransferase domain,1.60E-12,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014290.1,B,fwd,17620,18372,PF00561,Abhydrolase_1  alpha/beta hydrolase fold,7.40E-22,PF12697,Abhydrolase_6  Alpha/beta hydrolase family,2.10E-14,PF12146,Hydrolase_4  Serine aminopeptidase  S33,6.80E-12,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014247.1,,fwd,18622,19716,PF00753,Lactamase_B  Metallo-beta-lactamase superfamily,8.60E-06,PF12706,Lactamase_B_2  Beta-lactamase superfamily domain,3.00E-05,PF13483,Lactamase_B_3  Beta-lactamase superfamily domain,0.00028,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014249.1,,rev,19706,20620,PF00107,ADH_zinc_N  Zinc-binding dehydrogenase,1.60E-15,PF13602,ADH_zinc_N_2  Zinc-binding dehydrogenase,1.80E-14,PF08240,ADH_N  Alcohol dehydrogenase GroES-like domain,0.065,,,,
WP_068014239.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068014251.1,,fwd,20819,21436,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,4.30E-14,PF00356,LacI  Bacterial regulatory proteins  lacI family,0.22,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016018.1,,fwd,152253,152612,NO PFAM MATCH,,,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519271.1,,fwd,153051,153479,PF13340,DUF4096  Putative transposase of IS4/5 family (DUF4096),1.10E-08,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519272.1,,fwd,153554,153976,PF11225,DUF3024  Protein of unknown function (DUF3024),4.40E-11,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016021.1,,rev,154795,154986,PF13384,HTH_23  Homeodomain-like domain,3.50E-05,PF13542,HTH_Tnp_ISL3  Helix-turn-helix domain of transposase family ISL3,5.00E-05,PF02796,HTH_7  Helix-turn-helix domain of resolvase,0.00011,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016025.1,,rev,155300,155794,PF14015,DUF4231  Protein of unknown function (DUF4231),9.70E-07,PF03203,MerC  MerC mercury resistance protein,0.0092,PF11159,DUF2939  Protein of unknown function (DUF2939),0.084,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519273.1,,rev,156318,158258,PF13289,SIR2_2  SIR2-like domain,1.30E-12,PF14253,AbiH  Bacteriophage abortive infection AbiH,0.013,PF02260,FATC  FATC domain,0.073,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016032.1,,rev,158540,158971,PF00903,Glyoxalase  Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,2.20E-09,PF12681,Glyoxalase_2  Glyoxalase-like domain,5.00E-05,PF13669,Glyoxalase_4  Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,0.04,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016035.1,,rev,159092,161215,PF00196,GerE  Bacterial regulatory proteins  luxR family,4.30E-11,PF13424,TPR_12  Tetratricopeptide repeat,1.30E-09,PF08281,Sigma70_r4_2  Sigma-70  region 4,0.00013,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016038.1,,rev,161412,162353,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,2.40E-05,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016040.1,,rev,162358,163404,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.80E-13,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.40E-11,PF08066,PMC2NT  PMC2NT (NUC016) domain,0.012,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016043.1,,fwd,163892,165571,PF00501,AMP-binding  AMP-binding enzyme,2.60E-60,PF13193,AMP-binding_C  AMP-binding enzyme C-terminal domain,0.056,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016046.1,,fwd,165568,165861,NO PFAM MATCH,,,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016048.1,D,fwd,165892,166926,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,1.40E-42,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,4.00E-28,PF07993,NAD_binding_4  Male sterility protein,1.30E-22,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016051.1,B,fwd,167166,167996,PF00561,Abhydrolase_1  alpha/beta hydrolase fold,3.10E-24,PF12697,Abhydrolase_6  Alpha/beta hydrolase family,1.20E-20,PF12146,Hydrolase_4  Serine aminopeptidase  S33,5.60E-12,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519274.1,,rev,168231,169043,PF13460,NAD_binding_10  NAD(P)H-binding,2.40E-16,PF05368,NmrA  NmrA-like family,1.70E-12,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,1.10E-05,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016056.1,,rev,169166,170812,PF02342,TerD  TerD domain,9.50E-12,PF01844,HNH  HNH endonuclease,1.10E-11,PF14279,HNH_5  HNH endonuclease,1.60E-10,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016250.1,,rev,170885,173083,PF00425,Chorismate_bind  chorismate binding enzyme,1.20E-89,PF00117,GATase  Glutamine amidotransferase class-I,8.70E-44,PF04715,Anth_synt_I_N  Anthranilate synthase component I  N terminal region,7.70E-20,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084519275.1,,fwd,173233,174297,PF01636,APH  Phosphotransferase enzyme family,1.20E-36,PF02958,EcKinase  Ecdysteroid kinase,6.20E-07,PF07914,DUF1679  Protein of unknown function (DUF1679),0.012,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016061.1,,fwd,174479,175057,PF12867,DinB_2  DinB superfamily,0.00062,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016252.1,,rev,175170,176360,PF00144,Beta-lactamase  Beta-lactamase,3.80E-60,,,,,,,,,,
WP_068016043.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_068016064.1,,fwd,176612,177445,PF00144,Beta-lactamase  Beta-lactamase,5.50E-36,PF13354,Beta-lactamase2  Beta-lactamase enzyme family,0.00032,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999704.1,,fwd,676905,677330,PF02391,MoaE  MoaE protein,2.30E-34,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999706.1,,rev,677341,677802,PF01047,MarR  MarR family,3.60E-18,PF12802,MarR_2  MarR family,1.60E-12,PF13412,HTH_24  Winged helix-turn-helix DNA-binding,1.30E-08,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999708.1,,fwd,677890,678801,PF00296,Bac_luciferase  Luciferase-like monooxygenase,1.30E-40,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999710.1,,rev,678805,679854,PF02492,cobW  CobW/HypB/UreG  nucleotide-binding domain,2.30E-44,PF07683,CobW_C  Cobalamin synthesis protein cobW C-terminal domain,5.00E-16,PF00009,GTP_EFTU  Elongation factor Tu GTP binding domain,7.70E-05,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999712.1,,rev,679931,681394,PF01520,Amidase_3  N-acetylmuramoyl-L-alanine amidase,4.00E-31,PF01469,Pentapeptide_2  Pentapeptide repeats (8 copies),0.0048,PF10428,SOG2  RAM signalling pathway protein,2.6,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999714.1,,fwd,682121,682525,NO PFAM MATCH,,,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084513113.1,,fwd,682648,683745,PF01087,GalP_UDP_transf  Galactose-1-phosphate uridyl transferase  N-terminal domain,2.50E-39,PF02744,GalP_UDP_tr_C  Galactose-1-phosphate uridyl transferase  C-terminal domain,1.70E-14,PF16285,DUF4931  Domain of unknown function (DUF4931),0.16,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084513114.1,,fwd,683742,684848,PF10509,GalKase_gal_bdg  Galactokinase galactose-binding signature,7.70E-16,PF00288,GHMP_kinases_N  GHMP kinases N terminal domain,4.40E-12,PF08544,GHMP_kinases_C  GHMP kinases C terminal,1.80E-11,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999716.1,,fwd,685959,687008,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,4.80E-12,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.60E-09,PF08392,FAE1_CUT1_RppA  FAE1/Type III polyketide synthase-like protein,0.031,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999718.1,,fwd,687019,687924,PF08545,ACP_syn_III  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,9.40E-05,PF08541,ACP_syn_III_C  3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,0.00035,PF13723,Ketoacyl-synt_2  Beta-ketoacyl synthase  N-terminal domain,0.11,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999720.1,,fwd,687921,689591,PF00501,AMP-binding  AMP-binding enzyme,2.80E-61,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_084513145.1,,fwd,689609,689881,NO PFAM MATCH,,,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999722.1,D,fwd,689878,690918,PF01073,3Beta_HSD  3-beta hydroxysteroid dehydrogenase/isomerase family,1.60E-37,PF01370,Epimerase  NAD dependent epimerase/dehydratase family,7.00E-29,PF13460,NAD_binding_10  NAD(P)H-binding,4.50E-22,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999724.1,,fwd,690939,692132,NO PFAM MATCH,,,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999726.1,MMPL,fwd,692129,694273,PF03176,MMPL  MMPL family,3.50E-69,,,,,,,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999728.1,,fwd,694270,694671,PF03061,4HBT  Thioesterase superfamily,9.60E-17,PF13622,4HBT_3  Thioesterase-like superfamily,0.00059,PF14539,DUF4442  Domain of unknown function (DUF4442),0.0017,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999730.1,,rev,694685,695614,PF00107,ADH_zinc_N  Zinc-binding dehydrogenase,1.40E-15,PF13602,ADH_zinc_N_2  Zinc-binding dehydrogenase,5.90E-09,PF08240,ADH_N  Alcohol dehydrogenase GroES-like domain,0.018,,,,
WP_062999720.1,Nocardia,X-XSS-Protection: 1; mode=block,WP_062999732.1,,fwd,695777,696400,PF00440,TetR_N  Bacterial regulatory proteins  tetR family,3.30E-15,PF13022,HTH_Tnp_1_2  Helix-turn-helix of insertion element transposase,0.087,PF00356,LacI  Bacterial regulatory proteins  lacI family,0.096,,,,
