query,genus_species,nucleotide_acc,protein_acc,start,end,dir,pfam_id1,description,e_value1,pfam_id2,description_1,e_value2,pfam_id3,description_2,e_value3,x17,x18,x19,x20,x21,x22
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217774.1,45064,46540,+,PF00501,AMP-binding enzyme,3.3e-34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217776.1,46598,47636,+,PF00067,Cytochrome P450,2.4e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217778.1,47699,48605,+,PF01370,NAD dependent epimerase/dehydratase family,2.3e-22,PF04321,RmlD substrate binding domain,2.5e-14,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,8.1e-14,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217780.1,48802,48601,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217782.1,49635,48978,-,PF03070,TENA/THI-4/PQQC family,1.2e-44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217784.1,49992,49674,-,PF07883,Cupin domain,4.7e-16,PF02311,AraC-like ligand binding domain,7.2e-7,PF11699,Mif2/CENP-C like,1.3e-6,PF05899,Protein of unknown function (DUF861),6.7e-6,PF16867,Dimethlysulfonioproprionate lyase,5e-5
WP_033217772.1,Kitasatospora phosalacinea,NZ_JNWZ01000035.1,WP_033217786.1,50086,50467,+,PF04020,"Mycobacterial 4 TMS phage holin, superfamily IV",6.5e-33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916942.1,1754408,1753745,-,PF13419,Haloacid dehalogenase-like hydrolase,2.3e-29,PF00702,haloacid dehalogenase-like hydrolase,8.1e-20,PF12710,haloacid dehalogenase-like hydrolase,4.3e-11,PF13242,HAD-hyrolase-like,1.2e-4,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916309.1,1754518,1755442,+,PF09754,PAC2 family,7.4e-41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916311.1,1756345,1755481,-,PF02673,Bacitracin resistance protein BacA,1.1e-76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916313.1,1757706,1756353,-,PF01546,Peptidase family M20/M25/M40,6.5e-28,PF07687,Peptidase dimerisation domain,5.7e-15,PF04389,Peptidase family M28,3.8e-6,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916315.1,1758003,1758972,+,PF01545,Cation efflux family,3.4e-31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916317.1,1759011,1759977,+,PF13280,WYL domain,5.8e-27,PF08279,HTH domain,8.8e-17,PF02082,Transcriptional regulator,2.1e-7,PF08220,DeoR-like helix-turn-helix domain,3.6e-6,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916319.1,1759973,1761059,+,PF01988,VIT family,5.3e-59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916945.1,1761560,1761077,-,PF08044,Domain of unknown function (DUF1707),5.1e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916321.1,1761690,1762695,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.1e-18,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.3e-16,PF00108,"Thiolase, N-terminal domain",2.8e-5,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916323.1,1762691,1763462,+,PF00535,Glycosyl transferase family 2,1.4e-18,PF13641,Glycosyltransferase like family 2,4.1e-16,PF10111,Glycosyltransferase like family 2,3.5e-6,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916325.1,1763458,1764634,+,PF00067,Cytochrome P450,3.6e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916327.1,1764618,1766115,+,PF00501,AMP-binding enzyme,7.2e-45,PF13193,AMP-binding enzyme C-terminal domain,1.1e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916330.1,1766111,1767011,+,PF01370,NAD dependent epimerase/dehydratase family,3.3e-25,PF04321,RmlD substrate binding domain,1.4e-13,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,4.1e-13,PF13460,NAD(P)H-binding,1.1e-11,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916332.1,1767104,1767395,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916334.1,1767476,1768316,+,PF11296,Protein of unknown function (DUF3097),3.2e-121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916336.1,1768418,1769129,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_055916321.1,Leifsonia sp. Leaf336,NZ_LMOZ01000001.1,WP_055916338.1,1769131,1770712,+,PF00817,impB/mucB/samB family,1.4e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_083302941.1,169081,169975,+,PF01909,Nucleotidyltransferase domain,1.1e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074478019.1,169994,170552,+,PF13671,AAA domain,5.8e-11,PF13238,AAA domain,7.6e-6,PF07931,Chloramphenicol phosphotransferase-like protein,2.8e-5,PF13207,AAA domain,9.2e-4,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477936.1,171450,170661,-,PF06182,ABC-2 family transporter protein,3.6e-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477938.1,172243,171454,-,PF06182,ABC-2 family transporter protein,6e-28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477940.1,173271,172242,-,PF00005,ABC transporter,1.3e-22,PF13304,"AAA domain, putative AbiEii toxin, Type IV TA system",3.9e-9,PF13555,P-loop containing region of AAA domain,4.8e-4,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477942.1,174397,173320,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_083302942.1,175586,174566,-,PF03372,Endonuclease/Exonuclease/phosphatase family,2.7e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_083302943.1,175629,176988,+,PF05787,Bacterial protein of unknown function (DUF839),1.9e-68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477948.1,177187,178219,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1e-14,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,5.2e-14,PF00108,"Thiolase, N-terminal domain",1.7e-6,PF00109,"Beta-ketoacyl synthase, N-terminal domain",6.4e-4,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074478021.1,178245,178974,+,PF00535,Glycosyl transferase family 2,2.7e-24,PF13641,Glycosyltransferase like family 2,7.3e-13,PF10111,Glycosyltransferase like family 2,8.6e-4,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477950.1,179004,180498,+,PF00501,AMP-binding enzyme,1.1e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074478023.1,180607,181651,+,PF00067,Cytochrome P450,4.8e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074478025.1,181704,182643,+,PF01370,NAD dependent epimerase/dehydratase family,5.5e-19,PF04321,RmlD substrate binding domain,1.9e-13,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.3e-12,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_083302944.1,182744,184745,+,PF00563,EAL domain,7.9e-61,PF00990,"Diguanylate cyclase, GGDEF domain",2.2e-38,PF08447,PAS fold,2.7e-12,PF08448,PAS fold,6.6e-5,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477952.1,184800,185529,+,PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,3.2e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_074477948.1,Micromonospora carbonacea,NZ_FMCT01000015.1,WP_074477954.1,188697,185553,-,PF05729,NACHT domain,1.1e-7,PF13191,AAA ATPase domain,7.7e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552700.1,4152,5352,+,PF11941,Domain of unknown function (DUF3459),1.7e-12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552703.1,5284,7897,+,PF08482,ATP-dependent helicase C-terminal,6.6e-54,PF00271,Helicase conserved C-terminal domain,7.5e-11,PF04408,Helicase associated domain (HA2),6.3e-10,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552705.1,8622,7893,-,PF13672,Protein phosphatase 2C,5.5e-12,PF00481,Protein phosphatase 2C,5.9e-9,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552707.1,10180,8755,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552709.1,10546,10288,-,PF02148,Zn-finger in ubiquitin-hydrolases and other protein,1.7e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552711.1,12117,10542,-,PF00999,Sodium/hydrogen exchanger family,6.3e-57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552713.1,13114,12145,-,PF00296,Luciferase-like monooxygenase,8.9e-45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552716.1,13495,13228,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552719.1,13605,14637,+,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,8.8e-16,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,2.7e-15,PF00108,"Thiolase, N-terminal domain",1.4e-7,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552722.1,14633,15371,+,PF00535,Glycosyl transferase family 2,1.4e-25,PF13641,Glycosyltransferase like family 2,7.7e-15,PF10111,Glycosyltransferase like family 2,5.2e-4,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552725.1,15370,16825,+,PF00501,AMP-binding enzyme,3.9e-39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091554522.1,16931,17978,+,PF00067,Cytochrome P450,6.8e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552727.1,17974,18952,+,PF01370,NAD dependent epimerase/dehydratase family,4.9e-23,PF04321,RmlD substrate binding domain,2.7e-14,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.9e-14,PF07993,Male sterility protein,8.6e-7,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552729.1,19010,19859,+,PF13472,GDSL-like Lipase/Acylhydrolase family,1.1e-16,PF00657,GDSL-like Lipase/Acylhydrolase,5.1e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552731.1,20662,19945,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_091552719.1,Micromonospora pattaloongensis,NZ_FNPH01000002.1,WP_091552734.1,21288,22194,+,PF09754,PAC2 family,5.8e-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419984.1,6120,6378,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419983.1,6639,7503,+,PF01062,"Bestrophin, RFP-TM, chloride channel",1.2e-53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069420007.1,7754,7544,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_079219944.1,9236,8294,-,PF05050,Methyltransferase FkbM domain,8.8e-17,PF01135,Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT),5.1e-5,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419981.1,10327,9244,-,PF01370,NAD dependent epimerase/dehydratase family,6.7e-22,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,1.3e-16,PF07993,Male sterility protein,4.9e-16,PF04321,RmlD substrate binding domain,1.6e-8,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_079219948.1,11099,10316,-,PF00535,Glycosyl transferase family 2,2.1e-21,PF13641,Glycosyltransferase like family 2,1.9e-14,PF10111,Glycosyltransferase like family 2,5.6e-6,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_079219943.1,12724,11107,-,PF00501,AMP-binding enzyme,8.3e-52,PF13193,AMP-binding enzyme C-terminal domain,2.4e-6,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_079219942.1,13959,12720,-,PF00067,Cytochrome P450,6.6e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_079219947.1,15041,13955,-,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.3e-18,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.8e-17,PF00108,"Thiolase, N-terminal domain",1e-8,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419980.1,16703,16343,-,PF01022,"Bacterial regulatory protein, arsR family",2.6e-16,PF12840,Helix-turn-helix domain,2.3e-14,PF13412,Winged helix-turn-helix DNA-binding,1.6e-6,PF02082,Transcriptional regulator,7.8e-6,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419979.1,16804,17275,+,PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily,5e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069420002.1,17412,18357,+,PF02668,"Taurine catabolism dioxygenase TauD, TfdA family",5.8e-30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419978.1,18353,19481,+,PF01758,Sodium Bile acid symporter family,1.4e-64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419977.1,19953,19740,-,PF09957,"Bacterial antitoxin of type II TA system, VapB",1.4e-18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069420001.1,20185,21067,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_079219947.1,Mycobacterium intermedium,NZ_MVHT01000014.1,WP_069419976.1,21899,21071,-,PF13622,Thioesterase-like superfamily,2.8e-38,PF02551,Acyl-CoA thioesterase,7e-24,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152178.1,106889,105860,-,PF07991,"Acetohydroxy acid isomeroreductase, NADPH-binding domain",1.7e-76,PF01450,"Acetohydroxy acid isomeroreductase, catalytic domain",6.4e-62,PF02826,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain",3.2e-7,PF00670,"S-adenosyl-L-homocysteine hydrolase, NAD binding domain",1.9e-6,PF03807,NADP oxidoreductase coenzyme F420-dependent,2.7e-6
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152179.1,107505,106980,-,PF10369,Small subunit of acetolactate synthase,1.6e-26,PF01842,ACT domain,4.3e-16,PF13710,ACT domain,2.2e-15,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152180.1,109445,107525,-,PF02776,"Thiamine pyrophosphate enzyme, N-terminal TPP binding domain",1.6e-55,PF02775,"Thiamine pyrophosphate enzyme, C-terminal TPP binding domain",3.8e-53,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152181.1,109892,110357,+,PF09424,Yqey-like protein,4.6e-38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152182.1,111330,110385,-,PF01370,NAD dependent epimerase/dehydratase family,1e-26,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,8.6e-15,PF07993,Male sterility protein,1.5e-12,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_051703116.1,113213,111332,-,PF00501,AMP-binding enzyme,1.8e-48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_051703124.1,114388,113209,-,PF00067,Cytochrome P450,1.3e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_051703125.1,115263,114471,-,PF00535,Glycosyl transferase family 2,8.5e-21,PF13641,Glycosyltransferase like family 2,3.1e-13,PF13704,Glycosyl transferase family 2,6.8e-4,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152186.1,116342,115289,-,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,1.4e-24,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,3.4e-12,PF00108,"Thiolase, N-terminal domain",5.3e-9,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152187.1,116513,117818,+,PF00067,Cytochrome P450,1.8e-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152188.1,118562,117899,-,PF01329,Pterin 4 alpha carbinolamine dehydratase,3.3e-19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152189.1,120431,118730,-,PF00920,Dehydratase family,1e-212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_051703117.1,120478,121111,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152191.1,123134,121271,-,PF00920,Dehydratase family,2.8e-211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_051703126.1,123656,124142,+,PF07681,DoxX,3e-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_084690275.1,125797,124234,-,PF00854,POT family,1.4e-67,PF07690,Major Facilitator Superfamily,2.1e-21,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_030152186.1,Oerskovia turbata,NZ_JOFV01000012.1,WP_030152194.1,125894,127283,+,PF03441,FAD binding domain of DNA photolyase,8.8e-75,PF00875,DNA photolyase,7.9e-44,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928172.1,8347705,8348452,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928173.1,8349564,8348589,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928174.1,8349879,8350659,+,PF00722,Glycosyl hydrolases family 16,1.6e-8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928175.1,8351219,8350715,-,PF00583,Acetyltransferase (GNAT) family,2e-8,PF13673,Acetyltransferase (GNAT) domain,9.9e-7,PF13508,Acetyltransferase (GNAT) domain,2.3e-6,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928176.1,8351337,8352774,+,PF03816,Cell envelope-related transcriptional attenuator domain,6.6e-48,PF13399,LytR cell envelope-related transcriptional attenuator,4.7e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068920467.1,8353117,8352868,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928177.1,8353662,8353218,-,PF12833,Helix-turn-helix domain,1.9e-22,PF00165,"Bacterial regulatory helix-turn-helix proteins, AraC family",4.9e-13,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928178.1,8354074,8353705,-,PF01022,"Bacterial regulatory protein, arsR family",3.4e-15,PF12840,Helix-turn-helix domain,1.4e-10,PF01978,Sugar-specific transcriptional regulator TrmB,7.4e-6,PF12802,MarR family,9.3e-5,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928179.1,8354316,8355351,+,PF08541,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal,3.1e-16,PF08545,3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III,1.2e-15,PF00109,"Beta-ketoacyl synthase, N-terminal domain",7.4e-4,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928180.1,8355350,8356082,+,PF00535,Glycosyl transferase family 2,1e-23,PF13641,Glycosyltransferase like family 2,2.3e-12,PF13704,Glycosyl transferase family 2,3.9e-5,PF10111,Glycosyltransferase like family 2,2.6e-4,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928181.1,8356078,8357245,+,PF00067,Cytochrome P450,4.1e-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928182.1,8357324,8358848,+,PF00501,AMP-binding enzyme,2.9e-51,PF13193,AMP-binding enzyme C-terminal domain,6.7e-7,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928183.1,8358844,8359786,+,PF01370,NAD dependent epimerase/dehydratase family,2e-25,PF01073,3-beta hydroxysteroid dehydrogenase/isomerase family,2.5e-19,PF04321,RmlD substrate binding domain,2.6e-15,PF07993,Male sterility protein,1.3e-13,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928184.1,8361589,8362555,+,PF01656,CobQ/CobB/MinD/ParA nucleotide binding domain,4.4e-8,PF13614,AAA domain,2.3e-5,PF07728,AAA domain (dynein-related subfamily),1e-4,PF02374,Anion-transporting ATPase,1.5e-4,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928185.1,8362618,8363005,+,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WP_068928179.1,Planobispora rosea,NZ_JPMW01000001.1,WP_068928186.1,8363134,8363386,+,PF04014,"Antidote-toxin recognition MazE, bacterial antitoxin",5.6e-11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
